model,samples,expected_pass,passed,max_position_error_m,max_orientation_error_rad,mean_position_error_m,mean_orientation_error_rad,worst_position_sample,worst_orientation_sample
automatic,10,True,True,2.435541875787129e-16,0.0,1.3746378001439802e-16,0.0,2,0
edited,10,True,True,2.498001805406602e-16,2.1073424255447017e-08,1.4257125382444134e-16,2.1073424255447016e-09,6,8
negative_control,10,False,False,0.001000000000000046,0.0,0.000999999999999936,0.0,9,0
automatic,50,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2276193477342662e-16,6.496605239279071e-09,48,25
edited,50,True,True,2.498001805406602e-16,2.9802322387695312e-08,1.2512843377925267e-16,6.9180737243880115e-09,6,25
negative_control,50,False,False,0.0010000000000003962,2.9802322387695312e-08,0.0009999999999999582,6.496605239279071e-09,48,25
automatic,200,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2147445682347552e-16,6.9436400750945e-09,48,25
edited,200,True,True,3.64275408404521e-16,2.9802322387695312e-08,1.2662585446052476e-16,7.005362705710495e-09,107,25
negative_control,200,False,False,0.0010000000000003962,2.9802322387695312e-08,0.0009999999999999456,6.9436400750945e-09,48,25
