frame,parameter,unit,value,outcome,local_valid,passed,max_position_error_m,max_orientation_error_rad,mean_position_error_m,mean_orientation_error_rad,reason
6,axial_translation,m,-0.9,evaluated,True,True,5.606351459942525e-16,2.9802322387695312e-08,1.7504780336927665e-16,6.496605239279071e-09,
6,axial_translation,m,-0.8,evaluated,True,True,4.509747244882934e-16,2.9802322387695312e-08,1.7401780275985785e-16,6.496605239279071e-09,
6,axial_translation,m,-0.7,evaluated,True,True,4.484050470211362e-16,2.9802322387695312e-08,1.738749923519915e-16,6.496605239279071e-09,
6,axial_translation,m,-0.6,evaluated,True,True,5.585701844806365e-16,2.9802322387695312e-08,1.755277697596825e-16,6.496605239279071e-09,
6,axial_translation,m,-0.5,evaluated,True,True,3.521787733787174e-16,2.9802322387695312e-08,1.695377824121509e-16,6.496605239279071e-09,
6,axial_translation,m,-0.4,evaluated,True,True,4.631939073484647e-16,2.9802322387695312e-08,1.762976959907498e-16,6.496605239279071e-09,
6,axial_translation,m,-0.30000000000000004,evaluated,True,True,4.579669976578771e-16,2.9802322387695312e-08,1.7266087433003315e-16,6.496605239279071e-09,
6,axial_translation,m,-0.19999999999999996,evaluated,True,True,4.5822975916762365e-16,2.9802322387695312e-08,1.67288227906983e-16,6.496605239279071e-09,
6,axial_translation,m,-0.09999999999999998,evaluated,True,True,4.5822975916762365e-16,2.9802322387695312e-08,1.669513143835622e-16,6.496605239279071e-09,
6,axial_translation,m,0.0,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2276193477342662e-16,6.496605239279071e-09,
6,axial_translation,m,0.10000000000000009,evaluated,True,True,5.664874905799096e-16,2.9802322387695312e-08,1.7276861129796498e-16,6.496605239279071e-09,
6,axial_translation,m,0.19999999999999996,evaluated,True,True,5.662749647834299e-16,2.9802322387695312e-08,1.7168044853299115e-16,6.496605239279071e-09,
6,axial_translation,m,0.30000000000000004,evaluated,True,True,5.558049685633556e-16,2.9802322387695312e-08,1.7842952784468563e-16,6.496605239279071e-09,
6,axial_translation,m,0.3999999999999999,evaluated,True,True,4.443059973708341e-16,2.9802322387695312e-08,1.762383259302291e-16,6.496605239279071e-09,
6,axial_translation,m,0.5,evaluated,True,True,5.585701844806365e-16,2.9802322387695312e-08,1.819891802711003e-16,6.496605239279071e-09,
6,axial_translation,m,0.6000000000000001,evaluated,True,True,5.688200336284365e-16,2.9802322387695312e-08,1.8490971432450404e-16,6.496605239279071e-09,
6,axial_translation,m,0.7,evaluated,True,True,5.578801654593729e-16,2.9802322387695312e-08,1.8038441534959449e-16,6.496605239279071e-09,
6,axial_translation,m,0.8,evaluated,True,True,5.558049685633556e-16,2.9802322387695312e-08,1.745067873768999e-16,6.496605239279071e-09,
6,axial_translation,m,0.8999999999999999,evaluated,True,True,5.551115123125783e-16,2.9802322387695312e-08,1.8309062079998692e-16,6.496605239279071e-09,
6,axial_translation,m,1.0,evaluated,True,True,3.7341307954279784e-16,2.9802322387695312e-08,2.480143055597652e-16,6.496605239279071e-09,
6,axial_rotation,rad,-3.141592653589793,evaluated,True,True,5.664874905799096e-16,2.9802322387695312e-08,1.739080441270539e-16,5.653668269061191e-09,
6,axial_rotation,rad,-2.827433388230814,evaluated,True,True,4.475989973903898e-16,2.1073424255447017e-08,1.4265653464577623e-16,8.007901217069866e-09,
6,axial_rotation,rad,-2.5132741228718345,evaluated,True,True,4.442111658486589e-16,2.1073424255447017e-08,1.3309973614446072e-16,7.1649642468519865e-09,
6,axial_rotation,rad,-2.199114857512855,evaluated,True,True,4.454424009010536e-16,2.1073424255447017e-08,1.1890857908107595e-16,8.429369702178806e-09,
6,axial_rotation,rad,-1.8849555921538759,evaluated,True,True,4.475586568020162e-16,2.1073424255447017e-08,1.3617945093523272e-16,4.636153336198344e-09,
6,axial_rotation,rad,-1.5707963267948966,evaluated,True,True,5.579233166498663e-16,2.1073424255447017e-08,1.505671304775578e-16,5.900558791525164e-09,
6,axial_rotation,rad,-1.2566370614359172,evaluated,True,True,4.480290709917824e-16,2.9802322387695312e-08,1.2783909831520527e-16,9.025416149932713e-09,
6,axial_rotation,rad,-0.942477796076938,evaluated,True,True,4.444278938805073e-16,2.9802322387695312e-08,1.2729691066621794e-16,7.761010694605892e-09,
6,axial_rotation,rad,-0.6283185307179585,evaluated,True,True,4.441434166503682e-16,2.9802322387695312e-08,1.2091571272986961e-16,8.531635105004765e-09,
6,axial_rotation,rad,-0.31415926535897926,evaluated,True,True,4.588204223698824e-16,2.1073424255447017e-08,1.545436316838893e-16,4.636153336198344e-09,
6,axial_rotation,rad,0.0,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2276193477342662e-16,6.496605239279071e-09,
6,axial_rotation,rad,0.3141592653589796,evaluated,True,True,4.475989973903898e-16,2.9802322387695312e-08,1.4268730388234995e-16,5.23219978395225e-09,
6,axial_rotation,rad,0.6283185307179585,evaluated,True,True,4.442111658486589e-16,2.1073424255447017e-08,1.330808900884446e-16,8.007901217069866e-09,
6,axial_rotation,rad,0.942477796076938,evaluated,True,True,4.454424009010536e-16,2.9802322387695312e-08,1.1890857908107595e-16,8.182479179714832e-09,
6,axial_rotation,rad,1.256637061435917,evaluated,True,True,4.475586568020162e-16,2.9802322387695312e-08,1.371050792176986e-16,2.703388873298608e-09,
6,axial_rotation,rad,1.5707963267948966,evaluated,True,True,5.579233166498663e-16,2.9802322387695312e-08,1.5159707725899685e-16,5.23219978395225e-09,
6,axial_rotation,rad,1.884955592153876,evaluated,True,True,4.480290709917824e-16,2.9802322387695312e-08,1.2784549639261365e-16,6.9180737243880115e-09,
6,axial_rotation,rad,2.199114857512855,evaluated,True,True,4.444278938805073e-16,2.9802322387695312e-08,1.2729691066621794e-16,7.761010694605892e-09,
6,axial_rotation,rad,2.5132741228718345,evaluated,True,True,4.442111658486589e-16,2.1073424255447017e-08,1.2236872503955912e-16,5.900558791525164e-09,
6,axial_rotation,rad,2.8274333882308134,evaluated,True,True,4.588204223698824e-16,2.1073424255447017e-08,1.5650533146817938e-16,4.636153336198344e-09,
6,axial_rotation,rad,3.141592653589793,evaluated,True,True,5.664874905799096e-16,2.1073424255447017e-08,1.7552999473868087e-16,8.007901217069866e-09,
